packId,packName,code,name,challenge,points,difficulty,type,visibility,eligiblePars,requiredTags,excludedTags,rulesText
chaos,Chaos,CHA-001,Score Doubler,"If any player makes birdie, they choose one opponent whose game points are canceled or doubled negatively.",0,neutral,chaos,Public,"3, 4, 5",-,-,Manual effect card. Resolve cancellation or negative doubling per group agreement when triggered.
chaos,Chaos,CHA-002,Longest Drive Bonus,Longest drive in play gets +2.,2,neutral,chaos,Public,"4, 5",-,-,"After hole, award +2 to golfer with longest in-play drive."
chaos,Chaos,CHA-003,Closest to Pin Bonus,"On par 3s, closest to the pin gets +2.",2,neutral,chaos,Public,3,-,-,"On par 3, award +2 to closest tee shot in regulation."
chaos,Chaos,CHA-004,Shared Pain,"If any player makes double bogey or worse, every other player gets +1.",1,neutral,chaos,Public,"3, 4, 5",-,-,"If triggered, award +1 to all non-triggering golfers."
chaos,Chaos,CHA-005,Sabotage Token,First player to complete mission assigns -1 to any opponent.,-1,neutral,chaos,Public,"3, 4, 5",-,-,First mission finisher chooses one opponent to receive -1.
chaos,Chaos,CHA-006,Copycat,"If two players complete the same style of achievement, both get +1 extra.",1,neutral,chaos,Public,"3, 4, 5",-,-,Award +1 each to matching achievement pair when applicable.
chaos,Chaos,CHA-007,Lone Wolf,Only one player may score mission points. First to complete locks everyone else out.,0,neutral,chaos,Public,"3, 4, 5",-,-,Manual lockout effect; only first successful player receives mission points.
chaos,Chaos,CHA-008,Comeback Card,Player currently last in game score gets +1 bonus if they complete any mission.,1,neutral,chaos,Public,"3, 4, 5",-,-,Identify current last-place golfer and award +1 if they complete mission.
chaos,Chaos,CHA-009,Pressure Cooker,"If you miss a putt inside 4 feet, you cannot score mission points.",0,neutral,chaos,Public,"3, 4, 5",-,-,Manual disqualification from mission points if short putt is missed.
chaos,Chaos,CHA-010,No Safe Plays,Layups do not count for mission rewards unless card explicitly allows it.,0,neutral,chaos,Public,"4, 5",-,-,Manual constraint: layups cannot satisfy mission conditions unless stated.
chaos,Chaos,CHA-011,Birdie Bounty,Any birdie is worth +2 extra game points.,2,neutral,chaos,Public,"3, 4, 5",-,-,Award additional +2 to any golfer making birdie.
chaos,Chaos,CHA-012,Bogey Tax,Any player making double bogey or worse gets -1 game point.,-1,neutral,chaos,Public,"3, 4, 5",-,-,Apply -1 to golfers who post double bogey or worse.
chaos,Chaos,CHA-013,Long Putt Special,Any made putt over 10 feet is worth +1 extra.,1,neutral,chaos,Public,"3, 4, 5",-,-,Award +1 extra when golfer holes a putt longer than 10 feet.
chaos,Chaos,CHA-014,Target Golf,Approach shots on green earn +1 extra if player also avoids a 3-putt.,1,neutral,chaos,Public,"3, 4, 5",-,-,Award +1 if golfer hits approach to green and completes hole without 3-putt.
chaos,Chaos,CHA-015,Chaos Swap,Hole winner in game points may swap one point with any other player.,1,neutral,chaos,Public,"3, 4, 5",-,-,Manual swap effect: winner transfers 1 point with chosen opponent.
chaos,Chaos,CHA-016,Revenge Hole,Player with lowest game points on previous hole gets first tie-break rights on this hole.,0,neutral,chaos,Public,"3, 4, 5",-,-,Manual tie-break priority effect for previous-hole lowest scorer.
chaos,Chaos,CHA-017,Team Trouble,"If one player finds water, every other player making bogey or better gets +1.",1,neutral,chaos,Public,"3, 4, 5",water,-,"When water is found, award +1 to other golfers finishing bogey or better."
chaos,Chaos,CHA-018,Jackpot Hole,All mission rewards on this hole are worth +1 extra.,1,neutral,chaos,Public,"3, 4, 5",-,-,Add +1 bonus to every successfully completed mission reward.
chaos,Chaos,CHA-019,Double Trouble,"If two or more players fail their missions, all successful players gain +1 extra.",1,neutral,chaos,Public,"3, 4, 5",-,-,"Manual chaos resolution. If two or more players fail their missions, all successful players gain +1 extra. Apply +1 points based on selected resolution."
chaos,Chaos,CHA-020,Rich Get Richer,Current game leader earns +1 if they complete any mission this hole.,1,neutral,chaos,Public,"3, 4, 5",-,-,Manual chaos resolution. Current game leader earns +1 if they complete any mission this hole. Apply +1 points based on selected resolution.
chaos,Chaos,CHA-021,Robin Hood,Current game leader loses 1 point if they fail; last place gains 1 if they succeed.,1,neutral,chaos,Public,"3, 4, 5",-,-,Manual chaos resolution. Current game leader loses 1 point if they fail; last place gains 1 if they succeed.
chaos,Chaos,CHA-022,Par 3 Panic,"On a par 3, anyone missing the green cannot earn mission points.",0,neutral,chaos,Public,3,-,-,"Manual chaos resolution. On a par 3, anyone missing the green cannot earn mission points. Apply 0 points based on selected resolution."
chaos,Chaos,CHA-023,The Collector,Any player who completes their mission and makes par or better steals 1 point from the current leader.,1,neutral,chaos,Public,"3, 4, 5",-,-,Manual chaos resolution. A player who succeeds and makes par or better steals 1 point from current leader.
chaos,Chaos,CHA-024,Heat Check,"If the same player succeeds on three holes in a row, they gain +2 extra here.",2,neutral,chaos,Public,"3, 4, 5",-,-,"Manual chaos resolution. If the same player succeeds on three holes in a row, they gain +2 extra here. Apply +2 points based on selected resolution."
chaos,Chaos,CHA-025,Freeze Out,The previous hole's winner cannot earn bonus points from Chaos this hole.,0,neutral,chaos,Public,"3, 4, 5",-,-,Manual chaos resolution. Previous hole winner cannot receive this hole's chaos bonus.
chaos,Chaos,CHA-026,Mercy Rule,Any player in last place gets +1 just for completing a Common card this hole.,1,neutral,chaos,Public,"3, 4, 5",-,-,Manual chaos resolution. Any player in last place gets +1 just for completing a Common card this hole. Apply +1 points based on selected resolution.
chaos,Chaos,CHA-027,Group Project,"If everyone in the group makes bogey or better, everyone gets +1.",1,neutral,chaos,Public,"3, 4, 5",-,-,"Manual chaos resolution. If everyone in the group makes bogey or better, everyone gets +1. Apply +1 points based on selected resolution."
chaos,Chaos,CHA-028,Disaster Dividend,"If any player cards triple bogey or worse, all other players get +2.",2,neutral,chaos,Public,"3, 4, 5",-,-,"Manual chaos resolution. If any player cards triple bogey or worse, all other players get +2. Apply +2 points based on selected resolution."
chaos,Chaos,CHA-029,Clutch Multiplier,Any made putt over 12 feet is worth +2 instead of +1 bonus.,2,neutral,chaos,Public,"3, 4, 5",-,-,Manual chaos resolution. A made putt over 12 feet is worth +2 bonus instead of +1.
chaos,Chaos,CHA-030,Fairway Tax,Any player missing the fairway on a par 4 or 5 loses 1 game point unless their mission specifically involves recovery.,-1,neutral,chaos,Public,"4, 5",-,-,Manual chaos resolution. Missing fairway on par 4/5 loses 1 game point unless mission is recovery-based.
chaos,Chaos,CHA-031,Bonus for Bravery,Any player completing a Risk card this hole gets +1 extra.,1,neutral,chaos,Public,"3, 4, 5",-,-,Manual chaos resolution. Any player completing a Risk card this hole gets +1 extra. Apply +1 points based on selected resolution.
chaos,Chaos,CHA-032,Commoner's Relief,Any player completing a Common card this hole gets +1 extra if they are currently last in game points.,1,neutral,chaos,Public,"3, 4, 5",-,-,Manual chaos resolution. Any player completing a Common card this hole gets +1 extra if they are currently last in game points. Apply +1 points based on selected resolution.
chaos,Chaos,CHA-033,Clean Card Bonus,Any player who completes their mission and avoids a penalty stroke gets +1 extra.,1,neutral,chaos,Public,"3, 4, 5",-,-,Manual chaos resolution. Any player who completes their mission and avoids a penalty stroke gets +1 extra. Apply +1 points based on selected resolution.
chaos,Chaos,CHA-034,Shared Glory,"If every player completes their personal mission, everyone gets +2.",2,neutral,chaos,Public,"3, 4, 5",-,-,"Manual chaos resolution. If every player completes their personal mission, everyone gets +2. Apply +2 points based on selected resolution."
chaos,Chaos,CHA-035,Only Pars Matter,"Any player making par or better earns +1 game point, even if they fail their mission.",1,neutral,chaos,Public,"3, 4, 5",-,-,"Manual chaos resolution. Any player making par or better earns +1 game point, even if they fail their mission. Apply +1 points based on selected resolution."
chaos,Chaos,CHA-036,Miss and Pay,Any player who 3-putts loses 1 game point.,-1,neutral,chaos,Public,"3, 4, 5",-,-,Manual chaos resolution. Any player who 3-putts loses 1 game point. Apply -1 points based on selected resolution.
chaos,Chaos,CHA-037,Kingmaker,The player with the best real score on the hole may give +1 to any other player.,1,neutral,chaos,Public,"3, 4, 5",-,-,Manual chaos resolution. Hole best real-score player may grant +1 to any other player.
chaos,Chaos,CHA-038,Tight Race,"If two or more players tie for best game points on the hole, all tied players get +1 extra.",1,neutral,chaos,Public,"3, 4, 5",-,-,"Manual chaos resolution. If two or more players tie for best game points on the hole, all tied players get +1 extra. Apply +1 points based on selected resolution."
chaos,Chaos,CHA-039,Fail Forward,Any player who fails their mission but still makes bogey or better gains +1.,1,neutral,chaos,Public,"3, 4, 5",-,-,Manual chaos resolution. Any player who fails their mission but still makes bogey or better gains +1. Apply +1 points based on selected resolution.
chaos,Chaos,CHA-040,Spotlight Hole,The current real-score leader cannot earn Chaos bonus points this hole.,0,neutral,chaos,Public,"3, 4, 5",-,-,Manual chaos resolution. Current real-score leader is ineligible for chaos bonus on this hole.
